"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Trp63",81.6885198227835,0.9197408847545,0.388349880424888,0.00049776755655806,0.143407082323809
"Ltbp1",28223.4598903223,-2.57459624154365e-05,0.00144273514441314,0.000482927247064938,0.143407082323809
"Col11a1",2013.82759447041,-1.45240293401184e-05,0.00144270787275704,0.000528421135816459,0.146475593803461
"Olfm2",216.628748382576,0.811797840567283,0.351681784155197,0.000565404168231478,0.154717776496573
"Efna5",1579.0244568184,-0.396121829728513,0.173557836242182,0.00059484636407649,0.160713934112008
"Plch2",30.2096758259956,1.61633695137477,0.716776049782952,0.000610015268129266,0.162752073536888
"Cgn",25.3846548888144,1.18569209600293,0.516768112873223,0.000618330693599438,0.162933954619585
"Igsf9",35.7213471096177,0.961297813860492,0.426096780744667,0.000641818870931209,0.163083118823283
"C1rb",91.5051106210854,0.684976294625432,0.302038280955351,0.000636445902372515,0.163083118823283
"Gm9844",411.252587376114,0.591529379637566,0.261282367194218,0.000629281617945012,0.163083118823283
"Stra6l",40.6535105378118,0.796239105973445,0.357201642367464,0.000695899697432024,0.172054930281631
"Kdf1",8.09557148476665,3.32276469983035,1.37967751357692,0.000725493990130564,0.172054930281631
"Alpl",208.035058297293,0.637249276085763,0.28815620608852,0.000703346645359099,0.172054930281631
"Cyp2f2",1430.46911109391,0.540084579434544,0.24471952705557,0.000721710561252275,0.172054930281631
"F13a1",85.2710060294711,0.860563069332556,0.386998061085034,0.000691859350451916,0.172054930281631
"Rab27b",399.463756356758,-1.65533462182581e-05,0.00144270987039547,0.000711732243896446,0.172054930281631
"Lama1",70.2804472256999,0.978044307213815,0.446731340467302,0.000736318822300252,0.172703175199743
"Padi2",55.772313683633,1.13696929279098,0.523414339209924,0.00076710733256526,0.17796890115514
"Card10",2411.2094152266,0.263389953540497,0.121992585332406,0.000796286037707415,0.182751926761581
"Gm15564",77.2240301619608,-8.96126928461046e-06,0.00144269941374932,0.000805253449786163,0.182843932257828
"Tfap2c",24.9864164762904,8.09485347037031e-07,0.00144269513195411,0.00086749942862812,0.184052136062292
"Fam160a1",200.852845610249,0.532501271922878,0.251353278857379,0.00086548950710218,0.184052136062292
"Podxl",91.3418693365589,0.983885981412826,0.467252762497071,0.000870936363488169,0.184052136062292
"Scx",147.050095599714,-1.27046877341875e-05,0.00144270328031719,0.000860619517138982,0.184052136062292
"Col2a1",39.3956903289012,-0.940658604828081,0.44131338896762,0.000826597784417727,0.184052136062292
"Dynlt1a",41.9656391571489,0.785681401580822,0.367922311442431,0.000847236041548836,0.184052136062292
"Tll2",19.9685796627133,-7.4496924881958e-06,0.00144269796746262,0.000863890796503236,0.184052136062292
