"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Cul9",2961,3890,3962,3378,3496,3471,4243,5673
"Srf",4334,5268,7893,6749,5450,7358,6338,7816
"Mir6976",3,2,12,6,4,1,3,5
"Ptk7",1111,1734,2036,2147,1838,1806,2026,3534
"Klc4",912,1021,1098,1023,1135,1118,1307,1540
"Mrpl2",1062,1328,1127,1013,988,1634,1438,1707
"Cul7",6383,8652,10062,8623,8710,10283,8925,14721
"Rrp36",740,905,822,645,671,1077,972,1274
"Klhdc3",3499,4666,4934,4462,4480,6012,4955,7213
"Mea1",1719,2340,1590,1444,1666,2818,2474,2458
"Ppp2r5d",3182,4565,4529,3783,3862,5120,4691,6468
"Pex6",2554,3044,3114,2763,2711,3504,2786,4049
"Gnmt",17,48,25,17,28,32,18,22
"Cnpy3",3770,4742,5783,4521,4996,6969,5096,7711
"Ptcra",2,0,1,0,3,1,0,0
"2310039H08Rik",445,513,485,438,449,799,556,654
"Rpl7l1",2948,3572,3123,2585,3001,4656,4302,5822
"Bicral",1935,2008,3201,2662,2405,2178,2862,4365
"Tbcc",552,585,525,355,479,611,534,806
"Prph2",1,0,2,0,0,2,0,0
"Ubr2",4018,4994,7205,6393,5985,6328,7345,11310
"Gm4945",1,3,2,0,1,5,2,1
"Trerf1",2994,4672,5464,4902,4201,4717,4911,6416
"Mrps10",840,1084,783,672,785,1153,1088,1265
"Guca1b",41,19,25,29,17,50,37,41
"Gm5814",9,8,10,8,13,20,2,16
"AI661453",780,891,861,807,793,1070,893,1390
"Taf8",1318,1648,1575,1275,1359,1645,1822,2124
"Ccnd3",3288,3345,5435,4613,5013,7195,4794,6997
"Bysl",765,1379,1411,1093,1171,1942,1094,2067
"Med20",754,943,943,849,862,1076,1073,1336
"Gm20517",3,8,1,1,5,2,1,3
"Kpna2-ps",15,9,16,17,18,12,36,26
"Usp49",237,328,380,317,284,364,270,436
"Tomm6",1,0,0,3,1,1,0,0
"Gm21981",0,5,0,5,1,0,0,3
